name,value
Crimes contra a integridade física,5.5
Furto/roubo por esticão e na via pública,0.9
Furto de veículo e em veículo motorizado,3.0
Condução de veículo com taxa de álcool igual ou superior a 1.2g/l,1.6
Condução sem habilitação legal,0.9
Crimes contra o património,16.7
