type,value
Medida de coação de obrigação de permanência na habitação,507
Pena de prisão na habitação,824
Adaptação à liberdade condicional,53
Fiscalização da proibição de contactos em contexto de violência doméstica,1035
Modificação da execução da pena de prisão,5
Fiscalização da proibição de contactos em contexto de crime de perseguição,6
Fiscalização em contexto de crime de incêndio,3
