type,value
Medida de coação de obrigação de permanência na habitação,469
Pena de prisão na habitação,834
Adaptação à liberdade condicional,62
Fiscalização da proibição de contactos em contexto de violência doméstica,740
Modificação da execução da pena de prisão,6
Fiscalização da proibição de contactos em contexto de crime de perseguição,6
Fiscalização em contexto de crime de incêndio,4
