type,value
Medida de coação de obrigação de permanência na habitação,428
Pena de prisão na habitação,114
Adaptação à liberdade condicional,31
Fiscalização da proibição de contactos em contexto de violência doméstica,577
Modificação da execução da pena de prisão,7
Fiscalização da proibição de contactos em contexto de crime de perseguição,0
Fiscalização em contexto de crime de incêndio,0
