type,value
Medida de coação de obrigação de permanência na habitação,485
Pena de prisão na habitação,103
Adaptação à liberdade condicional,34
Fiscalização da proibição de contactos em contexto de violência doméstica,578
Modificação da execução da pena de prisão,3
Fiscalização da proibição de contactos em contexto de crime de perseguição,2
Fiscalização em contexto de crime de incêndio,0
