type,value
Medida de coação de obrigação de permanência na habitação,398
Pena de prisão na habitação,140
Adaptação à liberdade condicional,41
Fiscalização da proibição de contactos em contexto de violência doméstica,731
Modificação da execução da pena de prisão,3
Fiscalização da proibição de contactos em contexto de crime de perseguição,5
Fiscalização em contexto de crime de incêndio,0
