Crime,2015,2016,2017,2018,2019
Permanência na habitação,428,485,398,469,507
Prisão,114,103,140,832,824
Liberdade condicional,31,34,41,62,53
Fiscalização de Contactos (VD),577,578,731,740,1035
Modificação de pena,7,3,3,6,5
Fiscalização de Contactos(Perseguição),0,2,5,6,6
Incêndio,0,0,0,4,3
