name,value
Crimes contra a integridade física,8.9
Furto/roubo por esticão e na via pública,0.2
Furto de veículo e em veículo motorizado,1.6
Condução de veículo com taxa de álcool igual ou superior a 1.2g/l,2.0
Condução sem habilitação legal,1.1
Crimes contra o património,16.2
